trade_date,instrument,score,raw_score,target_weight,rank
2025-12-31,600032.sh,1.0,1.0073935554652511,0.0475,1
2025-12-31,600316.sh,0.997,1.002237005089396,0.0475,2
2025-12-31,600598.sh,0.997,1.002237005089396,0.0475,3
2025-12-31,000933.sz,0.926,1.0001607648549022,0.0475,4
2025-12-31,001389.sz,0.926,1.0001607648549022,0.0475,5
2025-12-31,002008.sz,0.926,1.0001607648549022,0.0475,6
2025-12-31,002064.sz,0.926,1.0001607648549022,0.0475,7
2025-12-31,002126.sz,0.926,1.0001607648549022,0.0475,8
2025-12-31,002130.sz,0.926,1.0001607648549022,0.0475,9
2025-12-31,002202.sz,0.926,1.0001607648549022,0.0475,10
2025-12-31,002851.sz,0.926,1.0001607648549022,0.0475,11
2025-12-31,002939.sz,0.926,1.0001607648549022,0.0475,12
2025-12-31,600486.sh,0.926,1.0001607648549022,0.0475,13
2025-12-31,600517.sh,0.926,1.0001607648549022,0.0475,14
2025-12-31,600673.sh,0.926,1.0001607648549022,0.0475,15
2025-12-31,601168.sh,0.926,1.0001607648549022,0.0475,16
2025-12-31,601233.sh,0.926,1.0001607648549022,0.0475,17
2025-12-31,601615.sh,0.926,1.0001607648549022,0.0475,18
2025-12-31,601799.sh,0.926,1.0001607648549022,0.0475,19
2025-12-31,601958.sh,0.926,1.0001607648549022,0.0475,20
