factor_name,coverage,nunique,quality_ok,ic,icir,win_rate,p_adjusted,significant,stable,redundant,selected,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,pos_2020,pos_2021,pos_2022,pos_2023,pos_2024,pos_2025,n_years,n_ic_years,ic_consistency
VOL_REV,1.0,3673052,True,0.046934797822368535,0.25955000044919885,0.613745704467354,0.0,True,True,False,True,0.040461515072874696,0.05736045129604777,0.056188723774891286,0.07350905022480815,0.05175254546723073,0.023885208223635154,0.5843621399176955,0.6337448559670782,0.6363636363636364,0.6570247933884298,0.5991735537190083,0.5720164609053497,6,6,1.0
QTLD60,1.0,2047616,True,0.04653376263449719,0.36748178819818395,0.6398625429553264,0.0,True,True,False,True,0.02688110747340748,0.05619379056791669,0.06338574844246128,0.05635846244339541,0.061041490700296054,0.07642121977971504,0.5679012345679012,0.6419753086419753,0.6363636363636364,0.6611570247933884,0.628099173553719,0.7037037037037037,6,6,1.0
MIN5,1.0,554185,True,0.0434128628297782,0.396820042362567,0.6673539518900343,0.0,True,True,False,True,0.04427019922101923,0.04492565312571514,0.05806330883450979,0.03999043636274501,0.0493016876120313,0.06017586770798327,0.7037037037037037,0.6378600823045267,0.6818181818181818,0.640495867768595,0.6446280991735537,0.6954732510288066,6,6,1.0
QTLD30,1.0,1800701,True,0.04307920465978474,0.36264967538155063,0.6391752577319587,0.0,True,True,False,True,0.03914829182168385,0.036362353543997084,0.05154569424144926,0.05123353721494685,0.057084742378431606,0.0728172219933195,0.5967078189300411,0.5843621399176955,0.6735537190082644,0.6652892561983471,0.5909090909090909,0.7242798353909465,6,6,1.0
MIN10,1.0,667594,True,0.04263344126914286,0.38588945592294066,0.6494845360824743,0.0,True,True,False,True,0.04108334658118217,0.042152226834152456,0.0547752990016185,0.05248632353489078,0.04848306587901833,0.054835627272033324,0.6460905349794238,0.5925925925925926,0.6818181818181818,0.6900826446280992,0.6157024793388429,0.6707818930041153,6,6,1.0
MIN30,1.0,921587,True,0.04167729872288334,0.3468555769057246,0.6371134020618556,0.0,True,True,False,True,0.037040422827140436,0.04396993884322461,0.05109452771548641,0.054734787845646324,0.05793508855164437,0.05089367425696806,0.6090534979423868,0.6172839506172839,0.6446280991735537,0.6694214876033058,0.6446280991735537,0.6378600823045267,6,6,1.0
MA60,1.0,2438397,True,0.041395274059314584,0.2912264337772307,0.6109965635738832,0.0,True,True,False,True,0.03514591681720755,0.03836915171929526,0.06800265415993631,0.027249803421521966,0.05008793433974455,0.07418993529410173,0.5679012345679012,0.6172839506172839,0.6528925619834711,0.5950413223140496,0.5330578512396694,0.6995884773662552,6,6,1.0
MIN60,1.0,1155652,True,0.04121593740208787,0.3308353465429722,0.6281786941580756,0.0,True,True,False,True,0.03428932767459042,0.05434140602856699,0.055589068289216635,0.04991879592566845,0.05941700815715832,0.0504301348902219,0.5761316872427984,0.6378600823045267,0.6446280991735537,0.6611570247933884,0.6322314049586777,0.6172839506172839,6,6,1.0
LOW0,1.0,358531,True,0.04000669090791575,0.35810588306070035,0.668041237113402,0.0,True,True,False,True,0.04084996606406818,0.04297630714154169,0.05201223783927639,0.04080043877921863,0.031546095443902744,0.04726211319036258,0.6954732510288066,0.6502057613168725,0.6818181818181818,0.6487603305785123,0.628099173553719,0.7037037037037037,6,6,1.0
VSUMN60,1.0,1938145,True,0.0396116705539055,0.42845865269810635,0.6659793814432989,0.0,True,True,False,True,0.033057662015178096,0.04220204595888037,0.03523013066215627,0.03844540145327499,0.04864204402066424,0.057753320622540585,0.6584362139917695,0.6625514403292181,0.6157024793388429,0.6487603305785123,0.6818181818181818,0.7283950617283951,6,6,1.0
VMA60,1.0,3769877,True,0.03936690791099954,0.38345198058302304,0.6467353951890035,0.0,True,True,False,True,0.03327620853824698,0.019501345947325565,0.05266792577991523,0.028070402998785875,0.0512689670390101,0.060210451149496115,0.6131687242798354,0.5720164609053497,0.6983471074380165,0.6157024793388429,0.6446280991735537,0.7366255144032922,6,5,0.8333333333333334
illiquidity_amihud,1.0,3951480,True,0.03680933520682015,0.20882642317372924,0.6054982817869415,1.106806953780156e-14,True,True,False,True,0.008365706231124597,0.04751587534300462,0.05061283235290933,0.06625520757600109,0.010379452722635006,0.03771689293013024,0.5185185185185185,0.6131687242798354,0.6942148760330579,0.6528925619834711,0.5578512396694215,0.5967078189300411,6,4,0.6666666666666666
MA30,1.0,2042857,True,0.036620912062090394,0.2809198067248363,0.6027491408934708,0.0,True,True,False,True,0.03582352242585949,0.023947318506413778,0.051896921681308286,0.03237921522417214,0.049763400403440836,0.06883396876340556,0.5720164609053497,0.5267489711934157,0.6239669421487604,0.6033057851239669,0.5619834710743802,0.7283950617283951,6,6,1.0
VSUMN30,1.0,2520418,True,0.03642321777482176,0.4056015339582629,0.659106529209622,0.0,True,True,False,True,0.039450214119597,0.015318681632364977,0.044366527137626635,0.02915243783238329,0.040506740167108694,0.061445370751034074,0.6419753086419753,0.5473251028806584,0.6942148760330579,0.6239669421487604,0.6652892561983471,0.7818930041152263,6,5,0.8333333333333334
QTLD10,1.0,1384136,True,0.036375182715859676,0.31614318684611753,0.6247422680412371,0.0,True,True,False,True,0.038041501045029534,0.03202009983228669,0.044581999481721174,0.03436936306836331,0.038670885844621375,0.06056510306068177,0.5967078189300411,0.5720164609053497,0.640495867768595,0.6528925619834711,0.5826446280991735,0.7037037037037037,6,6,1.0
SUMN30,1.0,1705743,True,0.03573033605384327,0.28665458508500535,0.6020618556701031,0.0,True,True,False,True,0.03465686978918727,0.03208362415735971,0.05427831764635295,0.02723240497916344,0.04500749799351593,0.05865530322070558,0.6049382716049383,0.5802469135802469,0.6033057851239669,0.5909090909090909,0.5578512396694215,0.6748971193415638,6,6,1.0
QTLU60,1.0,1970671,True,0.03485698515800713,0.2502842908155236,0.5972508591065292,0.0,True,True,False,True,0.025819071051530838,0.03857730380673013,0.0528461267435503,0.022067635899339137,0.04661589026086331,0.06825452431847738,0.5432098765432098,0.6049382716049383,0.6363636363636364,0.5619834710743802,0.5371900826446281,0.6995884773662552,6,6,1.0
EXTREME_REV,1.0,11139,True,0.03369176424812134,0.6805549045009884,0.7807560137457045,0.0,True,True,False,True,0.025588552903440295,0.025398314233808422,0.04028163335615311,0.02936464678606291,0.043133168095241245,0.03786094426382653,0.7242798353909465,0.7325102880658436,0.8181818181818182,0.768595041322314,0.8223140495867769,0.8189300411522634,6,6,1.0
STR_20d,1.0,1456183,True,0.03337203492311621,0.2647650707650418,0.5993127147766323,0.0,True,True,False,True,0.023931484695789335,0.01883678199874352,0.04355973498554087,0.03225441432572106,0.059071221724971985,0.06572850008159893,0.5596707818930041,0.5308641975308642,0.5867768595041323,0.6239669421487604,0.5991735537190083,0.6954732510288066,6,5,0.8333333333333334
SUMN60,1.0,2071393,True,0.03329281705701469,0.25733426853170965,0.5862542955326461,0.0,True,True,False,True,0.004804413827803028,0.0538957295981711,0.044916381828275086,0.02531303799246111,0.058104771718964755,0.05652076211294767,0.448559670781893,0.6296296296296297,0.6157024793388429,0.5661157024793388,0.5867768595041323,0.6707818930041153,6,5,0.8333333333333334
Alpha126,1.0,2752239,True,-0.03346976146824638,-0.18666317616493444,0.4536082474226804,6.547662412259569e-12,True,True,False,True,0.0003869944406116217,-0.05085762799077281,-0.049049460380625326,-0.051384128277930985,-0.037710306248535656,-0.004575620367869015,0.5679012345679012,0.4691358024691358,0.4462809917355372,0.3512396694214876,0.384297520661157,0.5020576131687243,6,4,0.6666666666666666
BETA30,1.0,4016059,True,-0.034876696824019955,-0.26573253400997426,0.41718213058419246,0.0,True,True,False,True,-0.02290944176159901,-0.02596517505899157,-0.05073883167035565,-0.031584857826098496,-0.057518835256724264,-0.06184882557106094,0.4444444444444444,0.4403292181069959,0.43388429752066116,0.4256198347107438,0.4090909090909091,0.3497942386831276,6,6,1.0
CORR20,1.0,3851440,True,-0.034975095234781484,-0.3674882312148167,0.354639175257732,0.0,True,True,False,True,-0.03685592614011492,-0.010649742268259264,-0.04241713773132457,-0.03447764364976026,-0.05425269962583046,-0.03863815519302795,0.34156378600823045,0.4156378600823045,0.32231404958677684,0.38016528925619836,0.32644628099173556,0.34156378600823045,6,5,0.8333333333333334
